,,Proyecto:  NextStep,,,,,,Febrero, Marzo,Abril,Mayo,Junio,,
#,Título,Fecha de inicio,Fecha de término,Duración,Responsable,,,12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,1 2 3 4 5 6 7 8 9 10 11 12 13,,Comentarios
1,Fase 1: Planeación,12/02/2025,28/02/2025,16 días,,,,,,,,,,
2,Planificación de las tareas,12/02/2025,12/02/2025,1/2 día,Luna,,,,,,,,,
3,Desarrollo diagrama de Gantt,12/02/2025,13/02/2025,1 día,Luna,,,,,,,,,
4,Planeación Estratégica,13/02/2025,15/02/2025,2 días,"Luna, Juárez, Fuentes, Sánchez",,,,,,,,,"Nombre, logo, slogan, misión, visión, objetivo, filosofía, políticas, estrategias, valores"
5,Recopilación de requerimientos,15/02/2025,20/02/2025,5 días,"Luna, Juárez, Fuentes, Sánchez",,,,,,,,,"Evalúa lenguajes de programación, frameworks, API´s, hardware, software, redes y plataformas"
6,Evaluación y revisión de requerimientos,20/02/2025,28/02/2025,8 días,Luna,,,,,,,,,
7,Fase 2: Metodologías de desarrollo ágil,01/03/2025,22/03/2025,21 días,,,,,,,,,,
8,Desarrollo de diagramas,01/03/2025,06/03/2025,5 días,"Luna, Juárez, Fuentes, Sánchez",,,,,,,,,
9,"                            -Casos de Uso, Clases, Actividades",01/03/2025,03/03/2025,2 días,"Fuentes, Juárez",,,,,,,,,
10,"                             -Secuencia, Distribución, Componenetes",03/03/2025,06/03/2025,3 días,"Luna, Sánchez",,,,,,,,,
11,Modelado de diseño y arquitectura,07/03/2025,10/03/2025,3 días,"Fuentes, Juárez",,,,,,,,,
12,Diseño de interfaz gráfica web,10/03/2025,12/03/2025,2 dias,Luna,,,,,,,,,
13,Diseño de interfaz gráfica de la aplicación móvil,12/03/2025,14/03/2025,2 días,"Luna, Sánchez",,,,,,,,,
14,Diseño de la base de datos,15/03/2025,22/03/2025,7 días,"Luna, Juárez, Fuentes, Sánchez",,,,,,,,,Base relacional y no relacional
15,"                             -Diagramas: entidad relación, relacional",15/03/2025,19/03/2025,4 días,"Fuentes, Sánchez",,,,,,,,,
16,                              -Diccionario de datos,20/03/2025,22/03/2025,2 días,Luna,,,,,,,,,
17,Fase 3: Programación del proyecto,23/03/2025,06/05/2025,46 días,,,,,,,,,,
18,Programación web,23/03/2025,06/05/2025,46 días,"Juárez, Fuentes",,,,,,,,,
19,Programación de la applicación móvil,23/03/2025,06/05/2025,46 días,"Luna, Sánchez",,,,,,,,,
20,Creación de la base de datos,01/04/2025,06/05/2025,38 días,Fuentes,,,,,,,,,
21,Fase 4: Pruebas,07/05/2025,11/06/2025,35 días,,,,,,,,,,
22,Ejecución de pruebas,07/05/2025,17/05/2025,10 días,Luna,,,,,,,,,
23,Identificación de defectos,18/05/2025,20/05/2025,2 días,Sánchez,,,,,,,,,
24,Solución de defectos,21/05/2025,11/06/2025,23 días,"Juárez, Fuentes",,,,,,,,,
25,Tiempo de preparación para exposición final,11/06/2025,13/06/2025,2 días,"Luna, Juárez, Fuentes, Sánchez",,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
